environment,architecture,tier,server,workload,concurrency,connection_mode,trials,median_requests_per_second,min_requests_per_second,max_requests_per_second,median_p50_ms,median_p90_ms,median_p99_ms,median_p999_ms,minimum_success_rate,maximum_timeouts
shared-arm64,arm64,plain,flyology-lightweight,plaintext,1,keepalive,7,13661.538426705192,13589.967923516913,13825.536643839061,0.066,0.09215999999999999,0.12464099999999999,0.290841,1.0,0
shared-arm64,arm64,plain,flyology-lightweight,response-1k,1,keepalive,7,13112.00341345318,13039.820118881045,13150.104360408326,0.0686,0.096081,0.130721,0.297761,1.0,0
shared-arm64,arm64,plain,flyology-native,plaintext,1,keepalive,7,14631.614059572252,14577.913482060685,14714.03636590507,0.061041,0.085521,0.114121,0.398401,1.0,0
shared-arm64,arm64,plain,flyology-native,response-1k,1,keepalive,7,13907.654159359763,13847.685914213163,13959.618262201053,0.06436,0.08996,0.11951999999999999,0.402882,1.0,0
shared-arm64,arm64,plain,hyper,plaintext,1,keepalive,7,22631.419090252275,22433.504426191757,23002.195691492016,0.039361,0.05456,0.075201,0.116881,1.0,0
shared-arm64,arm64,plain,hyper,response-1k,1,keepalive,7,22305.711053949395,21897.252112013684,22440.657116873448,0.04,0.0554,0.076321,0.118321,1.0,0
shared-arm64,arm64,application,servletada-aws,routed-get,1,keepalive,7,3591.9209086832457,3420.6973634135593,3766.4107628045317,0.244081,0.398682,0.493562,0.604363,1.0,0
shared-arm64,arm64,application,servletada-ews,routed-get,1,keepalive,7,6243.387742974357,6201.59164441137,6341.123577027393,0.14284,0.223641,0.296282,0.354282,1.0,0
shared-amd64,amd64,application,actix-web,routed-get,1,keepalive,7,37517.24015580304,36740.940554452136,38395.593919892766,0.025237,0.029189,0.037261,0.051677,1.0,0
shared-amd64,amd64,plain,aws,plaintext,1,keepalive,7,18034.08230276937,16757.145037741768,18458.906000246552,0.052514,0.064027,0.077713,0.136681,1.0,0
shared-amd64,amd64,plain,aws,response-1k,1,keepalive,7,17174.12066876066,16635.089119752454,17986.753991933892,0.054257,0.07240200000000001,0.082949,0.14821499999999999,1.0,0
shared-amd64,amd64,application,axum,routed-get,1,keepalive,7,37214.47212717274,33537.36945906206,38751.93068995083,0.025539,0.029761,0.037527000000000005,0.051237,1.0,0
shared-amd64,amd64,plain,ews,plaintext,1,keepalive,7,10804.20396848757,10503.938051550178,11486.09310127842,0.085097,0.12337700000000001,0.13392300000000001,0.30178099999999997,1.0,0
shared-amd64,amd64,plain,ews,response-1k,1,keepalive,7,11389.660557772771,10631.131193837302,11720.825139034356,0.083935,0.11227,0.130155,0.25123799999999996,1.0,0
shared-amd64,amd64,application,flyology-app-lightweight,routed-get,1,keepalive,7,20904.228345052852,19615.537071982762,21728.98845930411,0.043616999999999996,0.054532,0.092544,0.155262,1.0,0
shared-amd64,amd64,application,flyology-app-native,routed-get,1,keepalive,7,24000.69060188437,23260.149807608137,25405.791246828212,0.039172,0.046208,0.058820000000000004,0.250005,1.0,0
shared-amd64,amd64,plain,flyology-lightweight,plaintext,1,keepalive,7,23817.91202037185,23138.567139104573,24230.84737738789,0.039391,0.048127,0.07517299999999999,0.134921,1.0,0
shared-amd64,amd64,plain,flyology-lightweight,response-1k,1,keepalive,7,22492.686699844675,21256.07944898426,23602.47835964346,0.040947,0.055336,0.081962,0.14208800000000002,1.0,0
shared-amd64,amd64,plain,flyology-native,plaintext,1,keepalive,7,27506.67952266797,25579.75822041716,28148.809029348005,0.034922999999999996,0.037687,0.049294,0.23990799999999998,1.0,0
shared-amd64,amd64,plain,flyology-native,response-1k,1,keepalive,7,26445.290049599134,25485.42532433539,27170.26792186923,0.035901,0.041322000000000005,0.054345000000000004,0.27151200000000003,1.0,0
shared-amd64,amd64,plain,hyper,plaintext,1,keepalive,7,38059.41516461361,36812.819438233426,38653.957114053155,0.025148999999999998,0.029171,0.036642,0.050156,1.0,0
shared-amd64,amd64,plain,hyper,response-1k,1,keepalive,7,36944.62666280298,36422.361716089,38625.30313544802,0.025613,0.030111,0.037966,0.051848000000000005,1.0,0
shared-amd64,amd64,application,servletada-aws,routed-get,1,keepalive,7,9889.992955427984,9217.17964759071,10061.837072224796,0.097446,0.10994599999999999,0.15094,0.322674,1.0,0
shared-amd64,amd64,application,servletada-ews,routed-get,1,keepalive,7,10208.670789807318,8512.291451046767,10542.276071845188,0.092742,0.13048700000000002,0.144628,0.335564,1.0,0
