environment,architecture,tier,server,workload,concurrency,connection_mode,trials,median_requests_per_second,min_requests_per_second,max_requests_per_second,median_p50_ms,median_p90_ms,median_p99_ms,median_p999_ms,minimum_success_rate,maximum_timeouts,classification
shared-amd64,amd64,plain,flyology-native,plaintext,128,keepalive,3,356197.18002526875,351865.30222504586,359054.3782242086,0.36500299999999997,0.459949,0.6339549999999999,1.1809500000000002,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,plain,flyology-native,response-1k,8,keepalive,3,194240.86175433788,193634.24257245383,194288.0417631137,0.038123000000000004,0.040055999999999994,0.0516,0.36613900000000005,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,plain,flyology-native,response-1k,32,keepalive,3,321620.95806208195,320763.6007725168,323043.4419148412,0.086178,0.137687,0.422187,1.0148139999999999,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,plain,flyology-native,response-1k,128,keepalive,3,336331.03236680327,333457.8279968784,338008.32928170334,0.38501300000000005,0.49720099999999995,0.683284,1.214831,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,plain,hyper,plaintext,8,keepalive,3,261040.80390868796,260966.5737180074,261327.70143158583,0.028273,0.040352000000000006,0.052051,0.06369599999999999,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,plain,hyper,plaintext,32,keepalive,3,603627.9395430732,600370.5066554851,606399.1977740548,0.049582,0.072552,0.103599,0.219759,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,plain,hyper,plaintext,128,keepalive,3,785415.9635079226,783934.6848051394,785843.8235098792,0.153059,0.22769899999999998,0.327162,0.8315469999999999,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,plain,hyper,response-1k,8,keepalive,3,257940.38981775288,256172.27307501502,258352.90551761675,0.028639,0.040876,0.052920999999999996,0.06453300000000001,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,plain,hyper,response-1k,32,keepalive,3,606135.3969601829,598285.7701541915,606560.6987068229,0.049285,0.072438,0.10364799999999999,0.21475,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,plain,hyper,response-1k,128,keepalive,3,775220.9131427424,767564.4709835654,776479.9554322226,0.15521,0.230984,0.331667,0.866833,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,application,servletada-aws,routed-get,8,keepalive,3,40744.25590322076,40552.81755479298,41448.03617483605,0.193911,0.22239499999999998,0.250959,0.299356,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,application,servletada-aws,routed-get,32,keepalive,3,38066.748983572936,37578.15901468731,38140.3114307854,0.824519,0.966079,1.142557,1.3686200000000002,1.0,0,three-trial-ten-second-saturation-probe
shared-amd64,amd64,application,servletada-aws,routed-get,128,keepalive,3,37263.86699957599,37129.567577179856,37308.50712518355,3.408925,3.580543,3.790181,4.176259,1.0,0,three-trial-ten-second-saturation-probe
